#Name	ID	GM	Radius(km)	inertia	k2	k2r	td	J2	C21	C22	S21	S22	TidalDelayFactor	Geopotential	Ring	x	y	z	vx	vy	vz	alpha	delta	w	period(h)	xx	xy	xz	zx	zy	zz	wx	wy	wz
Enceladus	602	7.210298213586377E9	252.1	0.3305	0.03	0.03	0	5.732291708474677E-3	0	1.579052323067623E-3	0	-2.282863569714686E-4	0.E0	0	0	9.57479362288102E11	9.82278682827143E11	-5.511433078247812E10	1.797311888696247E3	1.405220941766269E4	-4.556900090899852E3	40.66000000 	83.52000000 	6.32000000 	32.88523401 	-7.318523471607218E-1	6.302453992181631E-1	-2.591966024462531E-1	8.56585685562246E-2	4.624146325549588E-1	8.82516468533002E-1	4.543860694808692E-6	2.452901079844963E-5	4.681334339184566E-5
Tethys	603	4.121264048576944E10	533.1	0.36	0.1	0.1	0	8.89832767451967E-3	0	3.122839096143703E-3	0	-4.658452272770661E-5	0.E0	0	0	9.57534686137695E11	9.8225156655033E11	-5.511152702359024E10	1.788788290451974E2	1.389994856407025E4	-4.246019313438647E3	32.29419460 	82.97500000 	15.72740215 	45.30323124 	-7.416461346557137E-1	6.278259824080568E-1	-2.362108100058037E-1	9.58301282603248E-2	4.476916605985358E-1	8.8903811141488E-1	3.693311034187967E-6	1.724340380953419E-5	3.423711963632093E-5
Dione	604	7.31159260563987E10	561.4	0.38	0.1	0.1	0	1.466392543756391E-3	0	3.584162720928206E-4	0	-9.45774798578227E-6	2.196100372236248E-1	0	0	9.57546200891036E11	9.82164192021719E11	-5.506097609582229E10	5.099133115801446E2	1.183724631413047E4	-3.272162631749018E3	40.66000000 	83.52000000 	357.60000000 	65.68597326 	-6.189457712417479E-1	7.187787243410723E-1	-3.166437709739118E-1	8.57032709258441E-2	4.625433122477443E-1	8.82444691551543E-1	2.276654186155611E-6	1.229029764374481E-5	2.344605567981072E-5
Rhea	605	1.539362946848812E11	763.8	0.3911	0.2	0.2	0	8.95707859902538E-3	0	2.38629270339931E-4	0	-2.317083399312565E-5	2.494716849346889E0	0	0	9.56792889905537E11	9.82436523056317E11	-5.512747673403989E10	-6.990121345345843E3	-7.822816233656575E2	4.090756327154102E3	39.58811815 	83.21161181 	235.94677293 	108.41809551 	9.90936928429072E-1	4.628547666646743E-2	-1.261017784383599E-1	9.04051477027964E-2	4.645311370256863E-1	8.80930038086147E-1	1.45539142597054E-6	7.478061597022592E-6	1.418124932081315E-5
Titan	606	8.97813731182382E12	2574.73	0.341	0.67	0.67	0	3.244680402158469E-5	9.50628774606075E-8	1.030370932504803E-5	8.17535083193846E-7	8.59178830452879E-7	7.396239333457991E-1	0	0	9.56370849298395E11	9.83204875596706E11	-5.548507779011707E10	-1.098324386556983E4	3.244904591769459E3	2.322752794607555E3	39.48270000 	83.42790000 	186.58550000 	382.69074184 	7.227260248130779E-1	-6.403007294084309E-1	2.601577770832867E-1	8.96078070298705E-2	4.600557375364503E-1	8.83356756514089E-1	4.05054092005286E-7	2.103743537132133E-6	4.026308341497391E-6
Hyperion	607	3.704913747932265E8	135	0.36	0.01	0.01	0	9.56963E-2	0	2.43061E-2	0	0	1	0	0	9.57488701458189E11	9.83712318485246E11	-5.584150364905086E10	-1.243946991678735E4	8.05144706252795E3	3.213376137737331E1	39.48 	83.43 	0.00 	306.15256 	3.085963497153337E-1	4.968506118052042E-1	8.11115135163416E-1	-2.880194643155172E-1	-7.638934843725311E-1	5.775045737555646E-1	3.526484411733991E-6	-8.24404705830639E-8	-2.822379211719494E-6
Iapetus	608	1.205151060137642E11	735.6	0.36	0.2	0.2	0	1.808662411097125E-2	0	9.9178619932996E-4	0	-1.279067426628933E-4	1	0	0	9.54463879003152E11	9.80418079247309E11	-5.41313609099906E10	-5.501123069955786E3	4.194523601346873E3	3.905260563615319E2	318.16000000 	75.03000000 	355.20000000 	1903.94038974 	7.24312973835183E-1	6.237778929107759E-1	-2.937207113055302E-1	1.924179975620322E-1	2.262009086105533E-1	9.54886623195643E-1	1.76739701837262E-7	2.077008561086085E-7	8.7687971819071E-7
Phoebe	609	5.547860052791678E8	106.5	0.36	0.01	0.01	0	2.38628512616611E-2	0	7.763009161722381E-4	0	0	1	0	0	9.45585112052803E11	9.79704375660291E11	-5.384331245818074E10	-8.09312843274621E3	8.41723318766217E3	2.800607619198266E2	356.90000000 	77.80000000 	178.58000000 	9.27397844 	-7.82493545054368E-2	-9.12575249716435E-1	4.01352030173598E-1	2.110214113464366E-1	3.783027280862746E-1	9.01308498726069E-1	3.971347506098917E-5	7.119520431485062E-5	1.696230035360066E-4
Janus	610	1.266171470048143E8	89.5	0.36	0	0	0	7.893303900820858E-2	0	9.55057477272259E-3	0	0	1	0	0	9.57403681187354E11	9.82545421938182E11	-5.524635560421905E10	-2.033210345860195E4	1.525433366921618E4	-3.075198354119272E3	39.81948543 	83.36005112 	59.58570927 	16.67032406 	-5.802172709410547E-1	-6.981417176067694E-1	4.194592478880236E-1	8.26765251983022E-2	4.618672554135613E-1	8.83087328953303E-1	8.67640685022442E-6	4.847812422272012E-5	9.26868580108381E-5
Epimetheus	611	3.513573795476823E7	58.1	0.36	0	0	0	4.784568440424797E-2	0	1.264576941857593E-2	0	0	1	0	0	9.57240412531665E11	9.82323826754868E11	-5.511586858808645E10	6.085236432291647E3	-8.29671786399968E2	2.839038444850534E3	40.92689781 	83.17128146 	293.52542867 	16.66032776 	4.997678271709564E-1	7.495196622320112E-1	-4.341110397725815E-1	8.17842024645904E-2	4.581172301312028E-1	8.85121431038784E-1	8.66514517697943E-6	4.854056750063239E-5	9.37829315883601E-5
